X92,Y92,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII
538034.2,244478.9,36,15,74,56,61,152,180,119,27,93,28,38
525030,220318.5,35,28,75,64,66,153,199,111,22,104,28,48
571345.2,159595.6,36,39,70,123,135,216,223,160,71,86,26,53
537212.1,190748.8,,,,,105,263,229,123,52,165,55,111
648364.3,179673.5,27,28,34,102,128,160,135,60,49,86,17,57
571200.5,170709.3,35,29,53,91,97,162,235,119,29,69,23,68
669803.5,189568.6,39,31,47,111,150,204,128,131,32,93,13,90
642231.9,183217,28,28,30,88,156,157,127,44,68,81,15,70
580871.5,170843.9,47,23,45,66,104,134,222,92,34,97,18,67
661963.1,209721.8,18,14,35,83,103,152,106,30,15,73,12,42
555069.9,211279.4,45,38,57,84,100,182,254,128,52,99,24,72
600213.6,236018.9,15,16,55,73,76,182,126,118,29,123,10,27
557489.3,209452,,46,58,131,74,182,212,142,54,107,34,88
533125.4,266678,40,16,75,54,93,128,134,57,94,100,29,46
622695.3,245753.9,18,15,33,73,75,145,186,111,70,138,15,28
547325.3,272344.2,24,8,54,40,56,116,211,34,43,97,21,23
646957.1,187049.5,20,24,31,71,152,164,134,37,61,71,9,45
616659.8,193728.1,20,19,30,94,120,129,169,67,59,66,10,35
545283,233419.6,22,28,68,53,43,181,165,81,63,95,39,45
549053.6,213073.8,41,36,55,90,92,152,200,141,43,86,24,61
580953.7,165287.1,31,22,35,52,97,142,173,160,52,76,11,46
527254.6,253675.8,39,14,84,46,67,143,174,68,29,106,25,39
549423.9,172321.3,29,12,35,53,67,129,148,110,45,76,12,34
671861.4,200757.4,19,16,37,93,128,160,167,74,29,72,9,72
642607.2,214736.8,36,18,29,97,85,141,132,58,29,94,12,32
671241.5,182197.8,25,19,39,84,117,103,132,63,26,87,20,76
561466.9,176148.8,38,24,52,74,83,141,203,103,44,70,15,55
619737.1,217887.1,24,19,36,97,139,120,135,110,52,86,17,34
595313.1,174782.4,35,20,63,75,94,132,173,108,27,67,13,66
596521.1,174803.6,41,26,51,80,104,168,185,103,29,71,16,58
641477.4,257340.7,23,6,37,55,76,82,75,46,32,93,12,34
588005.1,178365.3,39,29,58,72,163,137,166,98,30,86,17,75
576482.6,224510.2,24,28,38,66,65,138,140,101,25,79,18,28
589957.8,206189.9,30,34,46,117,89,182,192,178,32,88,27,52
576319.2,150399.5,75,67,164,189,150,271,299,333,108,133,88,154
567734.1,157697.2,42,39,85,139,185,319,213,156,55,96,38,68
529780,227753.1,31,18,72,61,67,147,164,61,33,106,36,57
586028.5,226507.6,17,18,37,72,82,133,119,91,68,81,15,26
527378.2,229592.7,44,28,84,66,68,139,182,68,27,118,42,65
662683.9,185643.3,31,26,39,78,112,130,107,78,27,80,14,61
656174.2,202136.3,17,14,32,87,101,135,125,68,23,80,10,59
590657.9,235848.6,17,12,54,56,86,146,139,112,61,101,15,28
585182.7,204259.6,37,34,33,86,98,157,218,198,43,93,22,40
640689.6,196151.3,22,23,31,89,100,144,145,54,36,64,15,65
567711.3,159549.5,47,43,63,118,132,242,215,141,59,91,29,67
572630.1,154054.7,66,46,81,132,178,301,285,214,91,114,48,75
546799.1,196380.7,,65,,122,107,269,192,120,55,120,59,138
562950.9,152082.6,71,52,96,166,173,211,259,251,89,126,70,100
560136.3,187249.4,44,38,76,94,98,166,171,123,46,90,32,89
642328.6,179512.7,28,26,40,86,146,172,127,53,60,102,24,107
590438.1,248815.9,11,11,36,37,61,122,102,41,24,91,14,14
530997.6,224054.8,,,,73,70,137,152,100,22,93,28,45
569985.8,263331.1,11,11,42,45,46,126,79,54,75,77,18,24
613744.2,217757.2,25,25,37,107,97,138,141,100,36,85,16,37
550580.8,177889.4,41,20,50,62,76,104,149,99,36,120,22,55
623629.5,256896,11,11,43,59,66,189,137,104,31,102,15,26
593849.4,258140.2,9,9,40,38,78,165,73,89,54,83,13,14
631994.1,207053,33,24,37,108,97,122,159,97,74,76,15,58
574547.6,191133.4,55,39,52,86,98,180,196,118,49,95,33,59
537046.4,214830.4,58,36,82,88,75,165,193,70,73,117,38,70
572581.1,157759.2,38,39,63,104,135,207,235,151,68,90,32,59
612263.5,173251.7,32,23,51,78,107,131,157,79,46,82,9,52
637640,173832.2,55,36,48,92,113,201,127,52,52,92,27,96
609585.7,186168.4,14,19,42,72,136,139,192,81,31,57,11,39
666250.1,226537.9,31,11,55,97,144,126,147,74,24,123,19,46
589834.4,213599.4,17,27,46,101,112,192,245,142,36,94,23,53
560013.1,198363.7,65,30,59,101,79,132,167,97,33,119,25,67
550166.6,222347.3,40,28,60,76,58,152,152,85,46,97,33,65
597430.3,191495.8,27,21,41,88,90,114,176,88,21,81,24,53
571441.7,152186.5,81,106,130,221,159,236,260,234,82,111,68,171
516633.7,223990.8,44,30,80,62,63,150,179,83,21,101,35,62
571031.3,183675.6,60,27,57,95,92,162,175,131,39,91,26,77
579310.9,194906.5,49,30,50,91,84,131,140,105,31,96,29,59
633286.4,203377.8,34,20,29,105,98,125,149,59,60,70,13,58
562908.5,155787.3,40,41,84,130,135,246,185,164,90,89,33,55
574674.8,181871.7,57,26,58,78,91,110,208,100,41,97,20,76
564267.8,244730.6,15,12,60,36,78,146,80,57,29,75,15,26
