X,Y,b3n_02,b3n_04,b3n_01,VNIR,SWIR
0,0,393,271,262,1,1
0,15,445,300,262,1,3
0,30,330,300,283,1,3
0,45,266,282,283,1,3
0,60,261,271,304,1,3
0,75,261,271,262,1,2
0,90,255,254,269,3,2
0,105,214,225,213,3,4
0,120,226,214,220,3,4
0,135,191,214,171,3,1
0,150,174,208,178,3,1
0,165,168,191,185,3,4
0,180,168,191,192,3,4
0,195,168,185,206,2,5
0,210,180,196,199,2,5
0,225,174,202,199,2,4
0,240,174,202,199,5,4
0,255,180,196,199,5,4
0,270,180,185,192,5,4
0,285,162,173,185,5,4
0,300,162,168,185,5,4
0,315,168,185,192,5,4
0,330,157,191,199,3,4
0,345,157,196,206,3,4
0,360,157,191,206,3,4
0,375,157,185,206,3,1
0,390,157,196,206,3,1
0,405,162,191,199,3,1
0,420,180,202,220,2,1
0,435,186,214,206,3,1
0,450,186,214,206,3,1
0,465,174,214,206,3,4
0,480,174,214,206,3,4
0,495,186,202,199,3,4
0,510,191,208,192,3,4
0,525,191,202,192,3,4
0,540,186,196,185,3,4
0,555,180,196,185,3,4
0,570,191,196,199,3,4
0,585,197,202,192,3,4
0,600,186,196,185,3,4
0,615,197,196,199,2,1
0,630,197,202,199,2,1
0,645,186,196,185,2,1
0,660,197,196,185,3,1
0,675,203,191,206,3,1
0,690,197,185,192,3,1
0,705,191,191,199,3,1
0,720,186,185,192,3,1
0,735,186,191,192,3,1
0,750,180,185,192,5,1
0,765,174,179,192,5,1
0,780,174,179,185,5,1
0,795,168,179,178,5,1
0,810,157,173,185,5,1
0,825,168,179,164,5,4
0,840,168,173,164,2,4
0,855,191,196,199,2,4
0,870,203,196,206,2,4
0,885,203,196,206,2,4
0,900,191,214,227,3,4
0,915,191,202,234,3,4
0,930,191,185,227,3,4
0,945,180,196,248,3,5
0,960,197,196,241,3,5
0,975,186,185,199,3,5
0,990,186,202,192,3,5
0,1005,174,202,185,3,1
0,1020,220,202,178,3,1
0,1035,220,202,199,3,1
0,1050,180,202,199,3,1
15,0,393,288,255,1,1
15,15,289,323,290,1,3
15,30,272,282,290,1,3
15,45,261,265,283,1,3
15,60,261,265,276,1,3
15,75,243,259,262,1,2
15,90,214,214,213,3,2
15,105,214,202,171,3,4
15,120,180,202,178,3,4
15,135,180,208,171,3,1
15,150,174,185,178,3,1
15,165,168,191,185,3,4
15,180,168,179,185,3,4
15,195,180,185,199,2,5
15,210,180,196,206,2,5
15,225,191,202,206,2,4
15,240,186,185,213,5,4
15,255,186,191,206,5,4
15,270,168,191,185,5,4
15,285,168,185,185,5,4
15,300,174,185,185,5,4
15,315,168,185,192,5,4
15,330,174,191,199,3,4
15,345,168,191,199,3,4
15,360,157,185,206,3,4
15,375,157,196,206,3,1
15,390,180,196,213,2,1
15,405,186,208,213,2,1
15,420,180,214,206,2,1
15,435,174,214,206,3,1
15,450,180,214,199,3,1
15,465,174,219,199,3,4
15,480,186,196,199,3,4
15,495,174,202,199,3,4
15,510,186,185,192,3,4
15,525,168,185,192,5,4
15,540,174,191,185,5,4
15,555,180,196,185,3,4
15,570,191,191,199,3,4
15,585,180,191,199,3,4
15,600,180,191,192,3,4
15,615,186,208,199,2,1
15,630,186,219,185,2,1
15,645,186,196,199,2,1
15,660,191,196,199,3,1
15,675,203,185,185,3,1
15,690,191,185,192,3,1
15,705,174,179,192,3,1
15,720,180,185,185,3,1
15,735,180,179,185,3,1
15,750,174,173,171,5,1
15,765,168,179,185,5,1
15,780,162,173,171,5,1
15,795,162,173,171,5,1
15,810,162,179,178,5,1
15,825,168,179,185,5,4
15,840,197,196,192,2,4
15,855,203,196,206,2,4
15,870,209,196,206,2,4
15,885,191,196,220,2,4
15,900,180,185,227,3,4
15,915,191,185,227,3,4
15,930,186,191,234,3,4
15,945,186,185,248,3,5
15,960,174,185,213,3,5
15,975,174,185,199,3,5
15,990,162,185,185,3,5
15,1005,180,208,199,3,1
15,1020,203,185,192,3,1
15,1035,191,185,192,3,1
15,1050,197,196,199,3,1
30,0,278,351,283,1,3
30,15,284,294,290,1,3
30,30,261,254,290,1,3
30,45,261,265,276,1,2
30,60,243,237,220,1,2
